United Kingdom,28.22080 ,"(""UK variant"" OR ""Kent variant"" OR ""U.K. variant"" OR ""United Kingdom variant"" OR ""Britain variant"")"
South Africa,18.26010 ,"(""South Africa variant"" OR ""South African variant"")"
India,12.16360 ,"(""India variant"" OR ""Indian variant"")"
Brazil,7.29460 ,"(""Brazil variant"" OR ""Brazilian variant"")"
United States of America,2.69220 ,"(""US variant"" OR ""United States variant"" OR ""U.S. variant"" OR ""California variant"" OR ""New York variant"")"
Italy,0.48110 ,"(""Italy variant"" OR ""Italian variant"")"
Spain,0.42350 ,"(""Spain variant"" OR ""Spanish variant"")"
China,0.33640 ,"(""China variant"" OR ""Chinese variant"")"
France,0.28460 ,"(""France variant"" OR ""French variant"")"
Japan,0.25800 ,"(""Japan variant"" OR ""Japanese variant"")"
Indonesia,0.24040 ,"(""Indonesia variant"" OR ""Indonesian variant"")"
Russia,0.19810 ,"(""Russia variant"" OR ""Russian variant"")"
Vietnam,0.15640 ,"(""Vietnam variant"" OR ""Vietnamese variant"")"
Germany,0.15290 ,"(""Germany Strip variant"" OR ""German variant"")"
Denmark,0.13490 ,"(""Denmark variant"" OR ""Danes variant"")"
Singapore,0.11630 ,"(""Singapore variant"" OR ""Singaporean variant"")"
Nigeria,0.11610 ,"(""Nigeria variant"" OR ""Nigerian variant"")"
Belgium,0.11350 ,"(""Belgium variant"" OR ""Belgian variant"")"
Sweden,0.10610 ,"(""Sweden variant"" OR ""Swedish variant"")"
Poland,0.09000 ,"(""Poland variant"" OR ""Polish variant"")"
Mexico,0.07100 ,"(""Mexico variant"" OR ""Mexican variant"")"
Portugal,0.06980 ,"(""Portugal variant"" OR ""Portuguese variant"")"
Romania,0.06020 ,"(""Romania variant"" OR ""Romanian variant"")"
Australia,0.05750 ,"(""Australia variant"" OR ""Australian variant"")"
Netherlands,0.05730 ,"(""Netherlands variant"" OR ""Netherlander variant"")"
Hong Kong,0.05730 ,"(""Hong Kong variant"" OR ""Hong Kong people variant"")"
Taiwan,0.05550 ,"(""Taiwan variant"" OR ""Taiwanese variant"")"
Thailand,0.05380 ,"(""Thailand variant"" OR ""Thailander variant"")"
Canada,0.05100 ,"(""Canada variant"" OR ""Canadian variant"")"
Israel,0.04930 ,"(""Israel variant"" OR ""Israeli variant"")"
Cambodia,0.04710 ,"(""Cambodia variant"" OR ""Cambodian variant"")"
Switzerland,0.04520 ,"(""Switzerland variant"" OR ""Switzer variant"")"
Ukraine,0.04340 ,"(""Ukraine variant"" OR ""Ukrainian variant"")"
North Korea,0.04250 ,"(""Korea variant"" OR ""Korean variant"") "
Turkey,0.03830 ,"(""Turkey variant"" OR ""Turk variant"")"
Argentina,0.03590 ,"(""Argentina variant"" OR ""Argentinan variant"")"
Ireland,0.03340 ,"(""Ireland variant"" OR ""Irish variant"")"
Philippines,0.03300 ,"(""Philippines variant"" OR ""Philippinese variant"")"
Austria,0.02500 ,"(""Austria variant"" OR ""Austrian variant"")"
Malaysia,0.02450 ,"(""Malaysia variant"" OR ""Malaysian variant"")"
Greece,0.02380 ,"(""Greece variant"" OR ""Greek variant"")"
Cuba,0.02200 ,"(""Cuba variant"" OR ""Cuban variant"")"
Norway,0.02130 ,"(""Norway variant"" OR ""Norwegian variant"")"
Croatia,0.02030 ,"(""Croatia variant"" OR ""Croatian variant"")"
South Korea,0.01910 ,"(""South Korea variant"" OR ""South Korean variant"") "
Czech Republic,0.01890 ,"(""Czech variant"" OR ""Czechs variant"")"
Peru,0.01880 ,"(""Peru variant"" OR ""Peruvian variant"")"
Venezuela,0.01800 ,"(""Venezuela variant"" OR ""Venezuelan variant"")"
Jersey,0.01790 ,"""Jersey variant"""
Republic of Serbia,0.01770 ,"(""Serbia variant"" OR ""Serbian variant"")"
Finland,0.01670 ,"(""Finland variant"" OR ""Finlander variant"")"
Chile,0.01600 ,"(""Chile variant"" OR ""Chilean variant"")"
Belarus,0.01590 ,"(""Belarus variant"" OR ""Belarusian variant"")"
Hungary,0.01380 ,"(""Hungary variant"" OR ""Hungarian variant"")"
Panama,0.01330 ,"(""Panama variant"" OR ""Panamanian variant"")"
Moldova,0.01260 ,"(""Moldova variant"" OR ""Moldovan variant"")"
Lebanon,0.01090 ,"(""Lebanon variant"" OR ""Lebanese variant"")"
Uruguay,0.01040 ,"(""Uruguay variant"" OR ""Uruguayan variant"")"
United Republic of Tanzania,0.01020 ,"(""Tanzania variant"" OR ""Tanzanian variant"")"
Kazakhstan,0.00920 ,"(""Kazakhstan variant"" OR ""Kazakhstan people variant"")"
Egypt,0.00920 ,"(""Egypt variant"" OR ""Egyptian variant"")"
Sri Lanka,0.00760 ,"(""Sri Lanka variant"" OR ""Sri Lankan variant"")"
Gibraltar,0.00720 ,"(""Gibraltar variant"" OR ""Gibraltarian variant"")"
Estonia,0.00720 ,"(""Estonia variant"" OR ""Estonian variant"")"
Colombia,0.00710 ,"(""Colombia variant"" OR ""Colombian variant"")"
Uganda,0.00710 ,"(""Uganda variant"" OR ""Ugandan variant"")"
Pakistan,0.00700 ,"(""Pakistan variant"" OR ""Pakistani variant"")"
Ecuador,0.00620 ,"(""Ecuador variant"" OR ""Ecuadorian variant"")"
Bolivia,0.00540 ,"(""Bolivia variant"" OR ""Bolivian variant"")"
Bulgaria,0.00530 ,"(""Bulgaria variant"" OR ""Bulgarian variant"")"
New Zealand,0.00500 ,"(""New Zealand variant"" OR ""New Zealander variant"")"
Seychelles,0.00450 ,"(""Seychelles variant"" OR ""Seychellese variant"")"
Iran,0.00420 ,"(""Iran variant"" OR ""Iranian variant"")"
Mayotte,0.00410 ,"""Mayotte variant"""
Cyprus,0.00410 ,"(""Cyprus variant"" OR ""Cypriot variant"")"
Northern Cyprus,0.00410 ,"""North Cyprus variant"""
Iceland,0.00390 ,"(""Iceland variant"" OR ""Icelander variant"")"
Angola,0.00370 ,"(""Angola variant"" OR ""Angolan variant"")"
Bangladesh,0.00350 ,"(""Bangladesh variant"" OR ""Bangladeshi variant"")"
Kenya,0.00330 ,"(""Kenya variant"" OR ""Kenyan variant"")"
Luxembourg,0.00320 ,"(""Luxembourg variant"" OR ""Luxemburger variant"")"
Iraq,0.00320 ,"(""Iraq variant"" OR ""Iraqi variant"")"
Azerbaijan,0.00320 ,"(""Azerbaijan variant"" OR ""Azerbaijani variant"")"
Paraguay,0.00280 ,"(""Paraguay variant"" OR ""Paraguayan variant"")"
Lithuania,0.00280 ,"(""Lithuania variant"" OR ""Lithuanian variant"")"
Honduras,0.00270 ,"(""Honduras variant"" OR ""Honduran variant"")"
Kyrgyzstan,0.00250 ,"(""Kyrgyzstan variant"" OR ""Kyrgyz variant"")"
Rwanda,0.00220 ,"(""Rwanda variant"" OR ""Rwandan variant"")"
Syria,0.00220 ,"(""Syria variant"" OR ""Syrian variant"")"
Macau,0.00220 ,"(""Macau variant"" OR ""Macanese variant"")"
Tajikistan,0.00210 ,"(""Tajikistan variant"" OR ""Tajik variant"")"
Macedonia,0.00210 ,"(""Macedonia variant"" OR ""Macedonian variant"")"
Slovakia,0.00210 ,"(""Slovakia variant"" OR ""Slovakian variant"")"
Tunisia,0.00200 ,"(""Tunisia variant"" OR ""Tunisian variant"")"
Jamaica,0.00200 ,"(""Jamaica variant"" OR ""Jamaican variant"")"
Jordan,0.00200 ,"(""Jordan variant"" OR ""Jordanian variant"")"
El Salvador,0.00190 ,"(""El Salvador variant"" OR ""El Salvadorean variant"")"
Gambia,0.00170 ,"(""Gambia variant"" OR ""Gambian variant"")"
Nepal,0.00170 ,"(""Nepal variant"" OR ""Nepalese variant"")"
Kuwait,0.00160 ,"(""Kuwait variant"" OR ""Kuwaiti variant"")"
Armenia,0.00160 ,"(""Armenia variant"" OR ""Armenian variant"")"
Ethiopia,0.00140 ,"(""Ethiopia variant"" OR ""Ethiopian variant"")"
Qatar,0.00140 ,"(""Qatar variant"" OR ""Qatari variant"")"
Mali,0.00130 ,"(""Mali variant"" OR ""Malian variant"")"
Georgia,0.00130 ,"(""Georgia Strip variant"" OR ""Georgian variant"")"
Slovenia,0.00130 ,"(""Slovenia variant"" OR ""Slovenian variant"")"
United Arab Emirates,0.00130 ,"""United Arab Emirates variant"""
Fiji,0.00120 ,"(""Fiji variant"" OR ""Fijian variant"")"
Ghana,0.00120 ,"(""Ghana variant"" OR ""Ghanaian variant"")"
Guinea-Bissau,0.00110 ,"""Guinea-Bissau variant"""
Albania,0.00100 ,"(""Albania variant"" OR ""Albanian variant"")"
Libya,0.00100 ,"(""Libya variant"" OR ""Libyan variant"")"
Suriname,0.00100 ,"(""Suriname variant"" OR ""Surinamese variant"")"
Haiti,0.00090 ,"(""Haiti variant"" OR ""Haitian variant"")"
Morocco,0.00090 ,"(""Morocco variant"" OR ""Moroccan variant"")"
Guatemala,0.00080 ,"(""Guatemala variant"" OR ""Guatemalan variant"")"
Democratic Republic of the Congo,0.00080 ,"(""Congo variant"" OR ""Congolese variant"")"
Republic of the Congo,0.00080 ,"(""Congo variant"" OR ""Congolese variant"")"
Cameroon,0.00080 ,"(""Cameroon variant"" OR ""Cameroonian variant"")"
Dominica,0.00080 ,"(""Dominica variant"" OR ""Dominican variant"")"
Burma,0.00070 ,"(""Burma variant"" OR ""Burman variant"")"
Gabon,0.00070 ,"(""Gabon variant"" OR ""Gabonese variant"")"
Guadeloupe,0.00070 ,"""Guadeloupe variant"""
Guinea,0.00070 ,"(""Guinea variant"" OR ""Guinean variant"")"
Bermuda,0.00060 ,"(""Bermuda variant"" OR ""Bermudan variant"")"
Latvia,0.00060 ,"(""Latvia variant"" OR ""Latvian variant"")"
Malawi,0.00060 ,"(""Malawi variant"" OR ""Malawian variant"")"
Dominican Republic,0.00050 ,"(""Dominican Republic variant"" OR ""Dominican variant"")"
Algeria,0.00040 ,"(""Algeria variant"" OR ""Algerian variant"")"
Antigua & Barbuda ,0.00040 ,"""Antigua & Barbuda variant"""
Laos,0.00040 ,"(""Laos variant"" OR ""Lao variant"")"
Reunion,0.00040 ,"""Reunion variant"""
Yemen,0.00040 ,"(""Yemen variant"" OR ""Yemeni variant"")"
Barbados,0.00030 ,"(""Barbados variant"" OR ""Barbadian variant"")"
