Myanmar,1752
Ireland,10764
Singapore,9088
Bulgaria,1891
United States of America,250942
Peru,2720
Brazil,17094
United Kingdom,13279
Poland,7268
Germany,36950
Bahrain,365
Australia,26638
Japan,42282
Israel,10101
Bangladesh,2294
Spain,18211
China,87442
South Africa,7783
Italy,32449
India,36710
Thailand,5900
Russia,35068
South Korea,10132
Canada,22428
Chile,3946
Croatia,1024
Saudi Arabia,6468
France,36278
Bermuda,122
South Sudan,312
Greece,6075
Kenya,2877
Indonesia,6013
Switzerland,7486
Democratic Republic of the Congo,198
New Zealand,6470
Hungary,3434
Iraq,1344
Mexico,18735
Iceland,1041
Honduras,1061
Sweden,8999
Egypt,3972
Comoros,7
Norway,5280
Uganda,1356
Algeria,450
Somalia,313
Cuba,2636
Jamaica,1531
Hong Kong,4164
Syria,2566
Pakistan,4219
Laos,188
Nigeria,5988
Portugal,3438
Finland,3429
Philippines,5801
Afghanistan,1325
Iran,8155
Colombia,4368
Malaysia,5514
Nepal,1695
Ecuador,1602
Taiwan,4433
Sri Lanka,1277
Denmark,5464
Argentina,5914
Sierra Leone,372
Malawi,518
Vietnam,3195
Ethiopia,1501
Paraguay,177
Belgium,3856
Guernsey,29
Estonia,810
North Korea,1342
Guatemala,1274
Belarus,594
Tonga,124
Gambia,175
Libya,772
Turkey,6395
Cambodia,658
Montenegro,82
Austria,2851
Costa Rica,962
Uruguay,533
Barbados,166
Zimbabwe,1069
Slovenia,1064
Burundi,153
Haiti,876
Lithuania,852
Guam,35
Burma,233
Mongolia,325
Chad,106
Nicaragua,495
Aruba,29
Rwanda,581
Oman,240
Bolivia,858
Liberia,446
Lesotho,56
Romania,2603
Togo,122
Yemen,309
Morocco,1149
Ghana,2240
Republic of Serbia,914
United Republic of Tanzania,1047
Kazakhstan,624
Malta,796
Lebanon,1108
Jordan,743
Sudan,623
Seychelles,47
Zambia,574
Czechia,780
Trinidad and Tobago,294
Moldova,256
Ukraine,3646
Papua New Guinea,238
Venezuela,4253
Senegal,541
Cyprus,488
Namibia,296
Grenada,77
Czech Republic,658
Vanuatu,50
Botswana,292
Macedonia,290
Turkmenistan,70
Latvia,882
Puerto Rico,870
Georgia,684
Mozambique,366
Albania,442
Guyana,318
Angola,403
Gibraltar,82
Ivory Coast,202
Bosnia and Herzegovina,273
Belize,177
Maldives,77
Azerbaijan,484
Tunisia,627
Mauritius,187
Uzbekistan,444
Armenia,675
Swaziland,68
Kuwait,418
El Salvador,556
Brunei,58
Eritrea,187
East Timor,34
Kosovo,164
Slovakia,701
Burkina Faso,161
Palestine,118
Greenland,53
The Bahamas,114
Gabon,133
Cote d'Ivoire,32
Cape Verde,32
Mali,224
Luxembourg,437
Madagascar,214
Bhutan,161
Monaco,56
Qatar,816
"Micronesia, Fed. St. ",6
Guinea,174
Fiji,291
Republic of the Congo,72
Solomon Islands,38
Equatorial Guinea,50
New Caledonia,13
Martinique,12
Kyrgyzstan,165
Samoa,116
Panama,372
Niger,131
Central African Republic,18
Cameroon,394
Antigua & Barbuda ,31
Tajikistan,122
Somaliland,8
Mauritania,70
Andorra,27
Jersey,44
Gaza Strip,4
Nauru,8
Benin,103
Netherlands,44
Dominica,19
Saint Lucia,50
Guinea-Bissau,26
Suriname,53
Guadeloupe,13
Cayman Islands,9
United Arab Emirates,36
Macau,21
Kiribati,20
Sao Tome & Principe,2
Dominican Republic,30
Liechtenstein,31
Montserrat,9
Tuvalu,16
Palau,6
Cook Islands,5
Saint Vincent and the Grenadines,1
Western Sahara,4
Djibouti,32
Faroe Islands,4
Anguilla,5
eSwatini,1
Isle of Man,7
San Marino,5
Netherlands Antilles,2
Marshall Islands,1
American Samoa,1
French Polynesia,1
Saint Kitts & Nevis,1
