Bangladesh,2116
United States of America,316664
China,100920
Romania,1408
Venezuela,2407
Philippines,4507
Uganda,1340
Cyprus,843
Canada,20788
Germany,25075
Czechia,780
Lebanon,1737
Australia,19115
Brazil,7366
Russia,18669
Lesotho,87
Vietnam,3476
New Zealand,6546
Syria,2761
Japan,17682
United Kingdom,82794
France,34467
Cameroon,408
Solomon Islands,129
Hong Kong,5547
Egypt,2695
Ireland,4389
Spain,12908
Italy,17245
Kenya,2486
Austria,3417
United Republic of Tanzania,1210
Israel,5031
Thailand,4555
Oman,570
Palestine,658
Singapore,6530
Saudi Arabia,4764
Ukraine,6233
Argentina,3315
United Arab Emirates,2786
Nicaragua,694
Latvia,567
Greece,3055
South Korea,7743
Madagascar,276
Burma,211
Seychelles,151
Chile,1964
Sri Lanka,1405
Cuba,4167
Cambodia,1681
Marshall Islands,64
Kuwait,618
South Africa,5423
Jamaica,653
Sweden,5114
Kazakhstan,761
Mali,268
Turkey,8697
Iceland,1053
Switzerland,7748
Montenegro,247
Armenia,471
Norway,3000
Denmark,3501
Portugal,3220
India,13851
Belize,396
Honduras,551
Republic of Serbia,949
Czech Republic,1036
Georgia,637
Mongolia,504
Botswana,409
Mexico,11317
Pakistan,3116
Indonesia,3791
Colombia,2343
Myanmar,1295
Uruguay,496
Mozambique,595
Papua New Guinea,605
Cook Islands,69
Uzbekistan,407
Costa Rica,1557
North Korea,4105
Guatemala,1219
Peru,2034
Jordan,1134
Hungary,1709
Bosnia and Herzegovina,315
Finland,2671
Rwanda,625
Bulgaria,1042
Haiti,1142
Jersey,69
Bermuda,236
Albania,396
Poland,3605
Belgium,5432
Tajikistan,174
Yemen,576
Slovenia,668
Taiwan,2151
Tunisia,514
Malaysia,4413
Morocco,1756
Kosovo,199
Ecuador,1544
Namibia,379
Angola,382
Iran,5482
Nigeria,1458
Afghanistan,1394
Ethiopia,1254
Puerto Rico,1110
Bolivia,653
Iraq,1649
Sierra Leone,260
El Salvador,583
Laos,570
Malta,663
Fiji,461
Faroe Islands,50
Sudan,499
Cayman Islands,170
Croatia,1156
Belarus,775
Panama,1298
Kiribati,45
Zambia,615
Mauritius,344
Nepal,1553
Gambia,139
Zimbabwe,839
Vanuatu,151
Antigua & Barbuda ,103
Kyrgyzstan,266
Democratic Republic of the Congo,650
Ghana,1120
Benin,155
Netherlands,2473
Monaco,303
Azerbaijan,541
The Bahamas,473
East Timor,140
Guyana,186
Tonga,97
Bhutan,298
Greenland,205
Turkmenistan,127
Senegal,550
Liberia,358
Swaziland,101
Estonia,935
Somalia,388
Qatar,1717
Chad,121
Martinique,58
Guam,115
Gaza Strip,54
Burkina Faso,266
Maldives,302
Moldova,259
Dominica,63
Andorra,69
Algeria,502
Samoa,162
Aruba,136
Lithuania,628
Malawi,340
Macedonia,358
Palau,59
Slovakia,611
Burundi,112
Libya,1068
Brunei,129
Tuvalu,12
Anguilla,28
Ivory Coast,220
Barbados,231
Paraguay,319
Cape Verde,85
Togo,142
New Caledonia,83
South Sudan,257
Gabon,114
Grenada,76
Sao Tome & Principe,17
Eritrea,190
Central African Republic,136
Luxembourg,749
Macau,225
Trinidad and Tobago,216
Saint Lucia,88
Liechtenstein,55
Somaliland,29
Bahrain,501
Djibouti,152
Mauritania,93
Republic of the Congo,117
Dominican Republic,463
Niger,143
Suriname,86
Guinea,177
French Polynesia,11
Guadeloupe,52
Gibraltar,110
Cote d'Ivoire,45
Virgin Islands,15
Equatorial Guinea,124
San Marino,30
"Micronesia, Fed. St. ",24
Guernsey,47
Isle of Man,28
Saint Vincent and the Grenadines,11
Nauru,69
eSwatini,11
Guinea-Bissau,26
Comoros,33
Northern Cyprus,7
French Guiana,13
American Samoa,25
Reunion,13
Montserrat,12
Netherlands Antilles,14
West Bank,1
Mayotte,4
Falkland Islands,18
Saint Kitts & Nevis,11
Saint Helena,2
Western Sahara,5
Wallis and Futuna,1
