name	flowtype	countrytype
United States of America	net inflow	DCs
Canada	net inflow	DCs
Lebanon	net inflow	DCs
Vietnam	net inflow	DCs
United Kingdom	net inflow	DCs
France	net inflow	DCs
Hong Kong	net inflow	DCs
Austria	net inflow	DCs
United Republic of Tanzania	net inflow	DCs
Palestine	net inflow	DCs
Nicaragua	net inflow	DCs
South Korea	net inflow	DCs
Cuba	net inflow	DCs
Cambodia	net inflow	DCs
Turkey	net inflow	DCs
Portugal	net inflow	DCs
Czech Republic	net inflow	DCs
Papua New Guinea	net inflow	DCs
Costa Rica	net inflow	DCs
North Korea	net inflow	DCs
Guatemala	net inflow	DCs
Jordan	net inflow	DCs
Morocco	net inflow	DCs
Ecuador	net inflow	DCs
Laos	net inflow	DCs
Fiji	net inflow	DCs
Panama	net inflow	DCs
Zambia	net inflow	DCs
Nepal	net inflow	DCs
Democratic Republic of the Congo	net inflow	DCs
Azerbaijan	net inflow	DCs
Bhutan	net inflow	DCs
Venezuela	level flow	LLDCs
Cyprus	level flow	LLDCs
Czechia	level flow	LLDCs
Lesotho	level flow	LLDCs
Syria	level flow	LLDCs
Cameroon	level flow	LLDCs
Solomon Islands	level flow	LLDCs
Kenya	level flow	LLDCs
Oman	level flow	LLDCs
Ukraine	level flow	LLDCs
Latvia	level flow	LLDCs
Madagascar	level flow	LLDCs
Burma	level flow	LLDCs
Seychelles	level flow	LLDCs
Sri Lanka	level flow	LLDCs
Kuwait	level flow	LLDCs
Kazakhstan	level flow	LLDCs
Mali	level flow	LLDCs
Iceland	level flow	LLDCs
Switzerland	level flow	LLDCs
Montenegro	level flow	LLDCs
Armenia	level flow	LLDCs
Denmark	level flow	LLDCs
Belize	level flow	LLDCs
Honduras	level flow	LLDCs
Republic of Serbia	level flow	LLDCs
Georgia	level flow	LLDCs
Mongolia	level flow	LLDCs
Botswana	level flow	LLDCs
Myanmar	level flow	LLDCs
Uruguay	level flow	LLDCs
Mozambique	level flow	LLDCs
Uzbekistan	level flow	LLDCs
Peru	level flow	LLDCs
Hungary	level flow	LLDCs
Bosnia and Herzegovina	level flow	LLDCs
Finland	level flow	LLDCs
Rwanda	level flow	LLDCs
Bulgaria	level flow	LLDCs
Haiti	level flow	LLDCs
Bermuda	level flow	LLDCs
Albania	level flow	LLDCs
Belgium	level flow	LLDCs
Tajikistan	level flow	LLDCs
Yemen	level flow	LLDCs
Slovenia	level flow	LLDCs
Tunisia	level flow	LLDCs
Kosovo	level flow	LLDCs
Namibia	level flow	LLDCs
Angola	level flow	LLDCs
Afghanistan	level flow	LLDCs
Puerto Rico	level flow	LLDCs
Bolivia	level flow	LLDCs
Iraq	level flow	LLDCs
Sierra Leone	level flow	LLDCs
El Salvador	level flow	LLDCs
Sudan	level flow	LLDCs
Croatia	level flow	LLDCs
Belarus	level flow	LLDCs
Mauritius	level flow	LLDCs
Gambia	level flow	LLDCs
Zimbabwe	level flow	LLDCs
Vanuatu	level flow	LLDCs
Antigua & Barbuda 	level flow	LLDCs
Kyrgyzstan	level flow	LLDCs
Monaco	level flow	LLDCs
The Bahamas	level flow	LLDCs
East Timor	level flow	LLDCs
Guyana	level flow	LLDCs
Tonga	level flow	LLDCs
Greenland	level flow	LLDCs
Turkmenistan	level flow	LLDCs
Senegal	level flow	LLDCs
Liberia	level flow	LLDCs
Swaziland	level flow	LLDCs
Estonia	level flow	LLDCs
Somalia	level flow	LLDCs
Qatar	level flow	LLDCs
Chad	level flow	LLDCs
Martinique	level flow	LLDCs
Guam	level flow	LLDCs
Burkina Faso	level flow	LLDCs
Maldives	level flow	LLDCs
Moldova	level flow	LLDCs
Andorra	level flow	LLDCs
Algeria	level flow	LLDCs
Samoa	level flow	LLDCs
Aruba	level flow	LLDCs
Lithuania	level flow	LLDCs
Malawi	level flow	LLDCs
Macedonia	level flow	LLDCs
Slovakia	level flow	LLDCs
Burundi	level flow	LLDCs
Libya	level flow	LLDCs
Brunei	level flow	LLDCs
Ivory Coast	level flow	LLDCs
Barbados	level flow	LLDCs
Paraguay	level flow	LLDCs
Cape Verde	level flow	LLDCs
Togo	level flow	LLDCs
New Caledonia	level flow	LLDCs
South Sudan	level flow	LLDCs
Gabon	level flow	LLDCs
Grenada	level flow	LLDCs
Eritrea	level flow	LLDCs
Central African Republic	level flow	LLDCs
Luxembourg	level flow	LLDCs
Trinidad and Tobago	level flow	LLDCs
Somaliland	level flow	LLDCs
Bahrain	level flow	LLDCs
Mauritania	level flow	LLDCs
Republic of the Congo	level flow	LLDCs
Niger	level flow	LLDCs
Bangladesh	net outflow	LDCs
China	net outflow	LDCs
Romania	net outflow	LDCs
Philippines	net outflow	LDCs
Uganda	net outflow	LDCs
Germany	net outflow	LDCs
Australia	net outflow	LDCs
Brazil	net outflow	LDCs
Russia	net outflow	LDCs
New Zealand	net outflow	LDCs
Japan	net outflow	LDCs
Egypt	net outflow	LDCs
Ireland	net outflow	LDCs
Spain	net outflow	LDCs
Italy	net outflow	LDCs
Israel	net outflow	LDCs
Thailand	net outflow	LDCs
Singapore	net outflow	LDCs
Saudi Arabia	net outflow	LDCs
Argentina	net outflow	LDCs
Greece	net outflow	LDCs
Chile	net outflow	LDCs
South Africa	net outflow	LDCs
Jamaica	net outflow	LDCs
Sweden	net outflow	LDCs
Norway	net outflow	LDCs
India	net outflow	LDCs
Mexico	net outflow	LDCs
Pakistan	net outflow	LDCs
Indonesia	net outflow	LDCs
Colombia	net outflow	LDCs
Poland	net outflow	LDCs
Taiwan	net outflow	LDCs
Malaysia	net outflow	LDCs
Iran	net outflow	LDCs
Nigeria	net outflow	LDCs
Ethiopia	net outflow	LDCs
Malta	net outflow	LDCs
Ghana	net outflow	LDCs
