name	flowtype	countrytype
United States of America	net inflow	DCs
China	net inflow	DCs
Uganda	net inflow	DCs
Cyprus	net inflow	DCs
Czechia	net inflow	DCs
Lebanon	net inflow	DCs
Lesotho	net inflow	DCs
Vietnam	net inflow	DCs
New Zealand	net inflow	DCs
Syria	net inflow	DCs
United Kingdom	net inflow	DCs
Cameroon	net inflow	DCs
Solomon Islands	net inflow	DCs
Hong Kong	net inflow	DCs
Austria	net inflow	DCs
United Republic of Tanzania	net inflow	DCs
Oman	net inflow	DCs
Palestine	net inflow	DCs
Ukraine	net inflow	DCs
United Arab Emirates	net inflow	DCs
Nicaragua	net inflow	DCs
Madagascar	net inflow	DCs
Seychelles	net inflow	DCs
Sri Lanka	net inflow	DCs
Cuba	net inflow	DCs
Cambodia	net inflow	DCs
Marshall Islands	net inflow	DCs
Kuwait	net inflow	DCs
Kazakhstan	net inflow	DCs
Mali	net inflow	DCs
Turkey	net inflow	DCs
Iceland	net inflow	DCs
Switzerland	net inflow	DCs
Montenegro	net inflow	DCs
Belize	net inflow	DCs
Republic of Serbia	net inflow	DCs
Mongolia	net inflow	DCs
Botswana	net inflow	DCs
Mozambique	net inflow	DCs
Papua New Guinea	net inflow	DCs
Cook Islands	net inflow	DCs
Costa Rica	net inflow	DCs
North Korea	net inflow	DCs
Jordan	net inflow	DCs
Bosnia and Herzegovina	net inflow	DCs
Rwanda	net inflow	DCs
Haiti	net inflow	DCs
Jersey	net inflow	DCs
Bermuda	net inflow	DCs
Belgium	net inflow	DCs
Tajikistan	net inflow	DCs
Yemen	net inflow	DCs
Morocco	net inflow	DCs
Kosovo	net inflow	DCs
Namibia	net inflow	DCs
Afghanistan	net inflow	DCs
Puerto Rico	net inflow	DCs
Iraq	net inflow	DCs
El Salvador	net inflow	DCs
Laos	net inflow	DCs
Czech Republic	net inflow	DCs
Fiji	net inflow	DCs
Faroe Islands	net inflow	DCs
Cayman Islands	net inflow	DCs
Croatia	net inflow	DCs
Belarus	net inflow	DCs
Panama	net inflow	DCs
Kiribati	net inflow	DCs
Zambia	net inflow	DCs
Mauritius	net inflow	DCs
Vanuatu	net inflow	DCs
Antigua & Barbuda 	net inflow	DCs
Kyrgyzstan	net inflow	DCs
Democratic Republic of the Congo	net inflow	DCs
Benin	net inflow	DCs
Netherlands	net inflow	DCs
Monaco	net inflow	DCs
Azerbaijan	net inflow	DCs
The Bahamas	net inflow	DCs
East Timor	net inflow	DCs
Bhutan	net inflow	DCs
Greenland	net inflow	DCs
Turkmenistan	net inflow	DCs
Senegal	net inflow	DCs
Swaziland	net inflow	DCs
Estonia	net inflow	DCs
Somalia	net inflow	DCs
Qatar	net inflow	DCs
Chad	net inflow	DCs
Martinique	net inflow	DCs
Guam	net inflow	DCs
Gaza Strip	net inflow	DCs
Burkina Faso	net inflow	DCs
Maldives	net inflow	DCs
Moldova	net inflow	DCs
Dominica	net inflow	DCs
Andorra	net inflow	DCs
Algeria	net inflow	DCs
Samoa	net inflow	DCs
Aruba	net inflow	DCs
Macedonia	net inflow	DCs
Palau	net inflow	DCs
Libya	net inflow	DCs
Brunei	net inflow	DCs
Anguilla	net inflow	DCs
Ivory Coast	net inflow	DCs
Barbados	net inflow	DCs
Paraguay	net inflow	DCs
Cape Verde	net inflow	DCs
Togo	net inflow	DCs
New Caledonia	net inflow	DCs
Grenada	net inflow	DCs
Eritrea	net inflow	DCs
Central African Republic	net inflow	DCs
Luxembourg	net inflow	DCs
Macau	net inflow	DCs
Saint Lucia	net inflow	DCs
Liechtenstein	net inflow	DCs
Somaliland	net inflow	DCs
Bahrain	net inflow	DCs
Djibouti	net inflow	DCs
Mauritania	net inflow	DCs
Republic of the Congo	net inflow	DCs
Dominican Republic	net inflow	DCs
Niger	net inflow	DCs
Suriname	net inflow	DCs
Guinea	net inflow	DCs
French Polynesia	net inflow	DCs
Guadeloupe	net inflow	DCs
Gibraltar	net inflow	DCs
Cote d'Ivoire	net inflow	DCs
Equatorial Guinea	net inflow	DCs
San Marino	net inflow	DCs
Isle of Man	net inflow	DCs
Saint Vincent and the Grenadines	net inflow	DCs
Guernsey	net inflow	DCs
Nauru	net inflow	DCs
eSwatini	net inflow	DCs
Comoros	net inflow	DCs
Sao Tome & Principe	net inflow	DCs
American Samoa	net inflow	DCs
Montserrat	net inflow	DCs
Netherlands Antilles	net inflow	DCs
Saint Kitts & Nevis	net inflow	DCs
Western Sahara	net inflow	DCs
Bangladesh	net outflow	LDCs
Romania	net outflow	LDCs
Venezuela	net outflow	LDCs
Philippines	net outflow	LDCs
Canada	net outflow	LDCs
Germany	net outflow	LDCs
Australia	net outflow	LDCs
Brazil	net outflow	LDCs
Russia	net outflow	LDCs
Japan	net outflow	LDCs
France	net outflow	LDCs
Egypt	net outflow	LDCs
Ireland	net outflow	LDCs
Spain	net outflow	LDCs
Italy	net outflow	LDCs
Kenya	net outflow	LDCs
Israel	net outflow	LDCs
Thailand	net outflow	LDCs
Singapore	net outflow	LDCs
Saudi Arabia	net outflow	LDCs
Argentina	net outflow	LDCs
Latvia	net outflow	LDCs
Greece	net outflow	LDCs
South Korea	net outflow	LDCs
Burma	net outflow	LDCs
Chile	net outflow	LDCs
South Africa	net outflow	LDCs
Jamaica	net outflow	LDCs
Sweden	net outflow	LDCs
Armenia	net outflow	LDCs
Norway	net outflow	LDCs
Denmark	net outflow	LDCs
Portugal	net outflow	LDCs
India	net outflow	LDCs
Honduras	net outflow	LDCs
Georgia	net outflow	LDCs
Mexico	net outflow	LDCs
Pakistan	net outflow	LDCs
Indonesia	net outflow	LDCs
Colombia	net outflow	LDCs
Myanmar	net outflow	LDCs
Uruguay	net outflow	LDCs
Uzbekistan	net outflow	LDCs
Guatemala	net outflow	LDCs
Peru	net outflow	LDCs
Hungary	net outflow	LDCs
Finland	net outflow	LDCs
Bulgaria	net outflow	LDCs
Albania	net outflow	LDCs
Poland	net outflow	LDCs
Slovenia	net outflow	LDCs
Taiwan	net outflow	LDCs
Tunisia	net outflow	LDCs
Malaysia	net outflow	LDCs
Ecuador	net outflow	LDCs
Angola	net outflow	LDCs
Iran	net outflow	LDCs
Nigeria	net outflow	LDCs
Ethiopia	net outflow	LDCs
Bolivia	net outflow	LDCs
Sierra Leone	net outflow	LDCs
Malta	net outflow	LDCs
Sudan	net outflow	LDCs
Nepal	net outflow	LDCs
Gambia	net outflow	LDCs
Zimbabwe	net outflow	LDCs
Ghana	net outflow	LDCs
Guyana	net outflow	LDCs
Tonga	net outflow	LDCs
Lithuania	net outflow	LDCs
Malawi	net outflow	LDCs
Slovakia	net outflow	LDCs
Burundi	net outflow	LDCs
Liberia	net outflow	LDCs
Tuvalu	net outflow	LDCs
South Sudan	net outflow	LDCs
Gabon	net outflow	LDCs
Trinidad and Tobago	net outflow	LDCs
Guinea-Bissau	net outflow	LDCs
