year,the United States,United Kingdom,India,China,Australia,Germany,France,Japan,Italy,Canada,Others
2000,0.55,0.08,4.0,2.0,0.57,5.0,0.4,4.0,1.0,0.5,1.57
2001,1.17,0.09,0.0,3.0,1.33,1.6,1.5,2.0,0.0,0.17,1.15
2002,0.78,0.0,0.0,0.5,1.5,2.0,0.0,0.0,1.0,0.0,0.94
2003,1.21,0.3,2.0,0.0,3.0,3.0,1.67,1.0,0.5,0.0,0.85
2004,0.69,0.17,2.33,2.0,2.0,1.0,2.0,0.0,0.0,0.33,1.26
2005,0.8,0.24,3.0,2.0,0.56,1.5,9.0,2.0,0.0,0.0,1.02
2006,0.81,0.0,1.33,2.67,1.67,0.8,1.0,1.5,1.0,0.8,1.07
2007,0.89,0.18,6.0,1.29,1.4,1.0,1.67,1.33,3.0,0.33,1.14
2008,0.49,0.25,4.33,2.6,1.0,2.0,0.67,2.0,1.0,1.0,1.15
2009,0.8,0.08,3.33,1.5,2.6,1.6,1.0,5.0,1.0,0.25,1.15
2010,0.63,0.42,2.12,1.82,1.5,1.0,1.4,5.5,2.0,1.83,1.03
2011,0.77,0.14,1.56,1.31,1.7,3.2,3.6,4.6,1.33,1.33,0.94
2012,0.98,0.14,4.0,1.47,1.12,0.9,0.6,3.5,1.18,1.0,1.05
2013,0.76,0.15,1.1,2.5,1.8,3.25,1.4,3.5,1.9,0.76,1.03
2014,1.03,0.22,3.14,1.1,1.4,1.5,1.71,2.2,0.75,2.1,0.88
2015,1.07,0.17,2.27,1.64,1.69,1.56,0.97,2.33,1.13,0.88,0.87
2016,1.12,0.12,2.55,1.22,1.24,1.92,1.06,1.14,3.38,1.17,0.91
2017,0.92,0.17,1.89,1.36,1.72,1.92,0.67,3.22,1.22,0.93,1.0
2018,1.15,0.17,7.7,0.72,1.83,1.29,0.58,1.71,1.28,0.84,0.94
2019,0.94,0.3,7.0,0.97,1.96,1.4,0.73,1.22,1.85,1.21,0.95
2020,1.33,0.0,2.0,0.5,0.0,2.0,0.0,1.0,0.0,0.0,0.81
2021,0.5,0.24,2.25,1.75,1.17,1.85,1.24,2.12,1.56,1.0,1.22
2022,0.75,0.39,3.33,1.05,1.31,1.86,0.82,2.96,1.8,1.1,0.98
2023,0.84,0.31,2.5,2.25,1.86,1.0,0.62,5.5,0.85,2.67,1.03
