year,the United States,United Kingdom,India,China,Australia,Germany,France,Japan,Italy,Russia,Canada,Others
2000,30.0,10.0,5.0,6.0,11.0,6.0,5.0,5.0,4.0,1.0,10.0,70.0
2001,43.0,11.0,2.0,4.0,7.0,13.0,4.0,2.0,1.0,3.0,4.0,74.0
2002,29.0,3.0,1.0,6.0,5.0,3.0,2.0,5.0,2.0,5.0,0.0,54.0
2003,37.0,10.0,6.0,3.0,4.0,4.0,7.0,4.0,3.0,1.0,1.0,68.0
2004,42.0,13.0,10.0,2.0,4.0,4.0,3.0,3.0,0.0,5.0,4.0,73.0
2005,71.0,17.0,8.0,11.0,14.0,8.0,10.0,10.0,1.0,4.0,4.0,83.0
2006,64.0,7.0,13.0,11.0,8.0,9.0,10.0,5.0,4.0,4.0,9.0,112.0
2007,64.0,25.0,6.0,14.0,12.0,9.0,8.0,7.0,4.0,8.0,12.0,98.0
2008,71.0,14.0,14.0,18.0,12.0,6.0,9.0,9.0,4.0,14.0,14.0,149.0
2009,83.0,24.0,12.0,10.0,18.0,13.0,10.0,12.0,2.0,5.0,10.0,152.0
2010,209.0,44.0,25.0,31.0,35.0,24.0,24.0,26.0,15.0,17.0,17.0,319.0
2011,184.0,39.0,23.0,29.0,26.0,21.0,23.0,28.0,14.0,14.0,21.0,343.0
2012,214.0,65.0,29.0,42.0,36.0,19.0,32.0,18.0,23.0,17.0,26.0,363.0
2013,246.0,53.0,20.0,42.0,42.0,17.0,24.0,27.0,28.0,24.0,30.0,395.0
2014,237.0,56.0,29.0,44.0,36.0,30.0,19.0,32.0,21.0,41.0,31.0,430.0
2015,405.0,96.0,72.0,87.0,70.0,41.0,65.0,40.0,32.0,39.0,49.0,724.0
2016,399.0,87.0,39.0,82.0,56.0,35.0,37.0,30.0,35.0,63.0,52.0,733.0
2017,433.0,89.0,55.0,99.0,49.0,38.0,55.0,38.0,40.0,32.0,29.0,717.0
2018,575.0,119.0,87.0,150.0,82.0,48.0,57.0,46.0,41.0,63.0,59.0,1107.0
2019,446.0,107.0,56.0,114.0,80.0,60.0,57.0,60.0,37.0,24.0,53.0,788.0
2020,25.0,0.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,42.0
2021,451.0,157.0,91.0,77.0,104.0,57.0,74.0,50.0,69.0,28.0,62.0,1130.0
2022,782.0,159.0,130.0,175.0,111.0,100.0,104.0,95.0,115.0,37.0,85.0,1732.0
2023,145.0,42.0,14.0,13.0,20.0,14.0,26.0,13.0,24.0,3.0,22.0,318.0
